"uni_id","cell_id","video_key","treatment","parent","ancestor","no_data_points","track_length","death_time","survival_time","max_filament_length","max_chromosome_length","max_chromosome_area","diff","avg_protein_load","max_protein_load","post_max_protein_retention","no_protein_bud","bud_produced","row_id"
"3:7","23","3","30","5","0",160,223,228,18.5833333333333,60.024,80.764,"217.857108",0.282511210762332,2.06040268456376,4,0.809701492537313,0,"NO",114
"3:7","27","3","30","6","0",85,120,129,10,45.262,62.22,"178.652652",0.291666666666667,1,1,1,0,"NO",115
"3:7","28","3","30","6","0",104,120,129,10,45.018,56.974,"135.325328",0.133333333333333,1.4,2,0.741379310344828,1,"YES",116
"3:7","29","3","30","1","0",109,168,181,14,73.81,84.668,"272.630228",0.351190476190476,1.515625,3,0.96078431372549,0,"NO",117
"3:7","30","3","30","1","0",130,168,181,14,73.81,84.668,"272.630228",0.226190476190476,1.03703703703704,2,0.530769230769231,0,"NO",118
"3:8","16","3","30","1","0",111,114,123,9.5,62.83,66.246,"165.644036",0.0263157894736842,1.30232558139535,3,0.755555555555556,0,"NO",119
"3:8","18","3","30","7","0",138,164,173,13.6666666666667,47.946,53.192,"193.238972",0.158536585365854,1.87272727272727,3,0.689655172413793,0,"NO",120
"4:10","35","4","60","18","0",221,229,232,19.0833333333333,43.92,46.238,"89.45284",0.0349344978165939,1.71551724137931,2,0.857758620689655,2,"YES",121
"4:10","36","4","60","18","0",64,63,66,5.25,35.99,17.934,"35.453688",0.0158730158730159,1,1,1,0,"NO",122
"4:10","37","4","60","10","0",115,226,231,18.8333333333333,35.868,41.358,"92.072424",0.491150442477876,1.22340425531915,2,0.677966101694915,0,"NO",123
"4:10","38","4","60","10","0",115,225,230,18.75,34.404,36.722,"89.944012",0.488888888888889,1.11363636363636,2,0.580645161290323,1,"YES",124
"4:10","39","4","60","5","0",64,74,81,6.16666666666667,29.524,32.818,"56.588968",0.135135135135135,1,1,1,0,"NO",125
"4:10","40","4","60","5","0",75,95,102,7.91666666666667,26.718,31.964,"71.74088",0.210526315789474,1.125,2,0.5625,0,"NO",126
"4:10","41","4","60","7","0",111,185,195,15.4166666666667,22.326,30.866,"50.843744",0.4,1.79090909090909,2,1,0,"NO",127
"4:10","42","4","60","7","0",111,110,120,9.16666666666667,6.222,8.296,"13.499788",0.00909090909090909,0,0,0,0,"NO",128
"4:10","43","4","60","15","0",103,134,147,11.1666666666667,31.232,44.164,"90.7924",0.23134328358209,1.07692307692308,2,0.571428571428571,0,"NO",129
"4:10","44","4","60","15","0",115,134,147,11.1666666666667,25.132,28.914,"63.77794",0.141791044776119,1.68686868686869,3,0.675438596491228,1,"YES",130
"4:10","46","4","60","2","0",113,138,152,11.5,22.326,20.984,"51.037236",0.181159420289855,1.70833333333333,2,0.886363636363636,0,"NO",131
"4:11","12","4","60","3","0",94,93,99,7.75,43.554,44.164,"105.214996",0.010752688172043,1.35365853658537,2,1,1,"YES",132
"4:15","31","4","60","2","0",132,247,264,20.5833333333333,34.892,45.872,"111.436508",0.465587044534413,1.34883720930233,2,0.794117647058823,0,"NO",133
"4:15","32","4","60","2","0",132,247,264,20.5833333333333,33.428,45.872,"111.436508",0.465587044534413,1.28703703703704,2,0.942857142857143,0,"NO",134
"4:1","12","4","60","6","0",156,247,263,20.5833333333333,36.234,46.482,"101.642836",0.368421052631579,1.05042016806723,2,0.543478260869565,1,"YES",135
"4:1","13","4","60","1","0",51,57,80,4.75,21.35,17.08,"36.24254",0.105263157894737,1,1,1,0,"NO",136
"4:1","14","4","60","1","0",51,57,80,4.75,21.35,17.08,"36.24254",0.105263157894737,1,1,1,0,"NO",137
"4:2","22","4","60","9","0",62,75,83,6.25,40.504,25.62,"43.357092",0.173333333333333,1,1,1,0,"NO",138
"4:2","24","4","60","2","0",135,172,181,14.3333333333333,27.084,30.256,"72.023676",0.215116279069767,0,0,0,0,"NO",139
"4:2","25","4","60","2","0",135,172,181,14.3333333333333,34.282,31.842,"72.023676",0.215116279069767,2.16260162601626,3,0.721311475409836,0,"NO",140
"4:2","26","4","60","10","0",55,83,95,6.91666666666667,40.992,33.428,"85.88068",0.337349397590361,1.4,2,0.9,0,"NO",141
"4:2","27","4","60","10","0",58,83,95,6.91666666666667,38.186,37.088,"95.525512",0.301204819277108,1.08620689655172,2,0.916666666666667,0,"NO",142
"4:2","28","4","60","7","0",115,193,208,16.0833333333333,42.944,62.22,"136.248136",0.404145077720207,1,1,1,0,"NO",143
"4:4","31","4","60","1","0",55,54,62,4.5,40.504,20.984,"33.8611",0.0185185185185185,1.83333333333333,2,1,0,"NO",144
"4:4","33","4","60","6","0",84,116,125,9.66666666666667,22.326,30.866,"70.058988",0.275862068965517,1.72881355932203,3,0.682926829268293,0,"NO",145
"4:4","34","4","60","6","0",76,116,125,9.66666666666667,31.598,32.086,"70.058988",0.344827586206897,1,1,1,0,"NO",146
"4:4","37","4","60","16","0",64,119,130,9.91666666666667,24.888,26.962,"73.97348",0.46218487394958,1,1,1,0,"NO",147
"4:4","38","4","60","16","0",64,119,130,9.91666666666667,24.888,26.962,"73.97348",0.46218487394958,1.51282051282051,3,1,0,"NO",148
"4:4","39","4","60","2","0",26,38,56,3.16666666666667,10.492,11.102,"20.956672",0.315789473684211,1,1,1,0,"NO",149
"4:4","40","4","60","2","0",26,38,56,3.16666666666667,11.956,14.396,"20.272008",0.315789473684211,1,1,1,0,"NO",150
"4:5","12","4","60","3","0",62,61,65,5.08333333333333,5.978,6.832,"13.32118",0.0163934426229508,1,1,1,0,"NO",151
"4:5","13","4","60","3","0",89,132,136,11,32.208,35.624,"77.128888",0.325757575757576,1.63492063492063,2,1,0,"NO",152
